iter	Passed	Remaining
942	60675	35839
943	60741	35775
944	60807	35712
945	60869	35646
946	60931	35580
947	60994	35515
948	61057	35450
949	61124	35387
950	61190	35324
951	61252	35258
952	61315	35193
953	61379	35129
954	61445	35065
955	61509	35001
956	61574	34937
957	61638	34872
958	61704	34809
959	61767	34744
960	61830	34679
961	61895	34615
962	61960	34551
963	62024	34486
964	62089	34422
965	62154	34358
966	62218	34294
967	62284	34230
968	62347	34165
969	62412	34101
970	62476	34037
971	62553	33979
972	62619	33916
973	62683	33851
974	62747	33787
975	62811	33722
976	62875	33658
977	62940	33593
978	63007	33530
979	63074	33467
980	63144	33406
981	63208	33342
982	63272	33277
983	63338	33213
984	63403	33150
985	63468	33085
986	63531	33020
987	63595	32956
988	63658	32891
989	63722	32826
990	63786	32761
991	63848	32696
992	63912	32632
993	63976	32567
994	64039	32502
995	64103	32437
996	64168	32373
997	64230	32308
998	64292	32242
999	64356	32178
1000	64421	32114
1001	64486	32050
1002	64551	31986
1003	64615	31921
1004	64680	31857
1005	64742	31791
1006	64806	31727
1007	64869	31662
1008	64932	31597
1009	64995	31532
1010	65056	31466
1011	65121	31402
1012	65184	31337
1013	65250	31273
1014	65314	31209
1015	65378	31144
1016	65439	31079
1017	65504	31014
1018	65569	30950
1019	65633	30886
1020	65697	30821
1021	65761	30757
1022	65824	30692
1023	65887	30627
1024	65950	30562
1025	66016	30498
1026	66079	30433
1027	66145	30370
1028	66207	30304
1029	66269	30239
1030	66334	30175
1031	66400	30111
1032	66463	30047
1033	66531	29984
1034	66596	29920
1035	66658	29854
1036	66721	29789
1037	66787	29726
1038	66849	29660
1039	66912	29595
1040	66975	29530
1041	67038	29465
1042	67103	29402
1043	67167	29337
1044	67230	29272
1045	67294	29208
1046	67359	29143
1047	67424	29080
1048	67487	29015
1049	67551	28950
1050	67619	28887
1051	67682	28823
1052	67747	28758
1053	67810	28694
1054	67873	28629
1055	67938	28565
1056	68006	28502
1057	68071	28438
1058	68133	28372
1059	68195	28307
1060	68258	28242
1061	68322	28178
1062	68386	28113
1063	68499	28069
1064	68569	28007
1065	68633	27942
1066	68696	27877
1067	68762	27814
1068	68829	27750
1069	68894	27686
1070	68962	27623
1071	69026	27559
1072	69091	27494
1073	69154	27430
1074	69217	27365
1075	69283	27301
1076	69347	27236
1077	69411	27172
1078	69478	27108
1079	69541	27043
1080	69608	26980
1081	69671	26915
1082	69735	26851
1083	69803	26787
1084	69875	26726
1085	69938	26661
1086	70004	26597
1087	70067	26532
1088	70132	26468
1089	70197	26404
1090	70259	26339
1091	70324	26275
1092	70390	26211
1093	70452	26145
1094	70518	26082
1095	70580	26016
1096	70647	25953
1097	70712	25889
1098	70773	25823
1099	70835	25758
1100	70897	25692
1101	70960	25628
1102	71026	25564
1103	71094	25501
1104	71159	25437
1105	71222	25372
1106	71291	25309
1107	71360	25246
1108	71424	25181
1109	71487	25117
1110	71550	25052
1111	71612	24987
1112	71676	24922
1113	71740	24858
1114	71803	24793
1115	71865	24728
1116	71928	24663
1117	71991	24598
1118	72053	24532
1119	72117	24468
1120	72182	24404
1121	72247	24339
1122	72311	24275
1123	72378	24212
1124	72444	24148
1125	72507	24083
1126	72571	24018
1127	72634	23953
1128	72700	23890
1129	72763	23825
1130	72828	23761
1131	72891	23696
1132	72954	23631
1133	73018	23566
1134	73085	23503
1135	73153	23440
1136	73217	23375
1137	73280	23310
1138	73343	23245
1139	73406	23181
1140	73471	23116
1141	73535	23052
1142	73598	22987
1143	73663	22923
1144	73726	22858
1145	73791	22794
1146	73856	22730
1147	73918	22665
1148	73985	22601
1149	74050	22536
1150	74116	22473
1151	74181	22409
1152	74249	22345
1153	74312	22280
1154	74376	22216
1155	74441	22152
1156	74504	22087
1157	74569	22023
1158	74637	21959
1159	74702	21895
1160	74764	21830
1161	74830	21766
1162	74899	21703
1163	74963	21638
1164	75025	21573
1165	75089	21509
1166	75154	21445
1167	75223	21382
1168	75288	21317
1169	75354	21253
1170	75420	21189
1171	75484	21125
1172	75554	21062
1173	75622	20999
1174	75688	20935
1175	75753	20870
1176	75817	20806
1177	75880	20741
1178	75944	20676
1179	76009	20612
1180	76072	20547
1181	76137	20483
1182	76200	20418
1183	76264	20354
1184	76329	20290
1185	76394	20225
1186	76458	20161
1187	76521	20096
1188	76583	20031
1189	76648	19967
1190	76712	19902
1191	76781	19839
1192	76843	19774
1193	76908	19710
1194	76971	19645
1195	77036	19581
1196	77099	19516
1197	77166	19452
1198	77231	19388
1199	77295	19323
1200	77360	19259
1201	77427	19195
1202	77489	19130
1203	77552	19066
1204	77615	19001
1205	77681	18937
1206	77792	18884
1207	77857	18819
1208	77921	18755
1209	77985	18690
1210	78047	18625
1211	78113	18561
1212	78184	18498
1213	78247	18433
1214	78312	18369
1215	78378	18305
1216	78443	18241
1217	78506	18176
1218	78570	18111
1219	78634	18047
1220	78698	17982
1221	78762	17918
1222	78827	17853
1223	78892	17789
1224	78958	17725
1225	79022	17660
1226	79086	17596
1227	79150	17531
1228	79214	17467
1229	79278	17402
1230	79345	17338
1231	79410	17274
1232	79475	17209
1233	79538	17145
1234	79602	17080
1235	79667	17016
1236	79728	16951
1237	79795	16887
1238	79857	16822
1239	79921	16757
1240	79985	16693
1241	80048	16628
1242	80111	16563
1243	80175	16499
1244	80238	16434
1245	80301	16369
1246	80367	16305
1247	80429	16240
1248	80495	16176
1249	80559	16111
1250	80623	16047
1251	80690	15983
1252	80751	15918
1253	80813	15853
1254	80876	15788
1255	80941	15724
1256	81006	15659
1257	81072	15595
1258	81137	15531
1259	81200	15466
1260	81265	15402
1261	81326	15337
1262	81390	15272
1263	81456	15208
1264	81522	15144
1265	81585	15079
1266	81651	15015
1267	81714	14950
1268	81779	14886
1269	81841	14821
1270	81907	14757
1271	81971	14693
1272	82039	14629
1273	82102	14564
1274	82166	14499
1275	82233	14436
1276	82297	14371
1277	82364	14307
1278	82429	14243
1279	82493	14178
1280	82558	14114
1281	82622	14049
1282	82687	13985
1283	82751	13920
1284	82816	13856
1285	82880	13791
1286	82944	13727
1287	83011	13663
1288	83076	13598
1289	83140	13534
1290	83207	13470
1291	83273	13406
1292	83339	13342
1293	83404	13277
1294	83468	13213
1295	83534	13148
1296	83599	13084
1297	83663	13020
1298	83727	12955
1299	83790	12890
1300	83853	12826
1301	83917	12761
1302	83980	12696
1303	84043	12632
1304	84106	12567
1305	84172	12503
1306	84237	12439
1307	84301	12374
1308	84366	12310
1309	84427	12245
1310	84492	12180
1311	84554	12116
1312	84619	12051
1313	84681	11986
1314	84745	11922
1315	84809	11857
1316	84873	11793
1317	84935	11728
1318	85001	11664
1319	85065	11599
1320	85128	11535
1321	85192	11470
1322	85257	11406
1323	85324	11342
1324	85390	11277
1325	85456	11213
1326	85518	11148
1327	85582	11084
1328	85648	11020
1329	85712	10955
1330	85776	10891
1331	85837	10826
1332	85901	10761
1333	85965	10697
1334	86028	10632
1335	86092	10568
1336	86158	10504
1337	86224	10439
1338	86287	10375
1339	86352	10310
1340	86417	10246
1341	86487	10182
1342	86550	10118
1343	86616	10053
1344	86681	9989
1345	86748	9925
1346	86814	9860
1347	86877	9796
1348	86942	9731
1349	87007	9667
1350	87070	9602
1351	87135	9538
1352	87198	9473
1353	87263	9409
1354	87325	9344
1355	87391	9280
1356	87454	9215
1357	87519	9151
1358	87581	9086
1359	87646	9022
1360	87710	8957
1361	87773	8893
1362	87837	8828
1363	87901	8764
1364	87964	8699
1365	88029	8635
1366	88093	8570
1367	88158	8506
1368	88222	8442
1369	88288	8377
1370	88352	8313
1371	88416	8248
1372	88480	8184
1373	88545	8119
1374	88611	8055
1375	88676	7991
1376	88744	7927
1377	88809	7862
1378	88872	7798
1379	88939	7733
1380	89002	7669
1381	89069	7605
1382	89138	7540
1383	89202	7476
1384	89265	7411
1385	89330	7347
1386	89394	7283
1387	89458	7218
1388	89521	7153
1389	89585	7089
1390	89650	7025
1391	89715	6960
1392	89782	6896
